caption,dataset,category
"The man in brown clothes pours the contents of the bag into his hand, and then takes out a piece of paper from the bag and opens it.",hcstvg1,3.3 Composite Action Sequences
"The girl gets up, is caught by the opposite man, and pushes her to sit down.",hcstvg1,3.3 Composite Action Sequences
The man in the white clothes speaks a few words to the woman next to him and turns away.,hcstvg1,2.4 Durational States & Non-Actions
"The man in the hat reaches out and points to the front, then puts his hand down and turns his head.",hcstvg1,3.4 Composite Action Sequences
"The woman flicks the soot, takes another puff, and takes the cup for a sip.",hcstvg1,3.3 Composite Action Sequences
"Tall man hugs the man on the left and right, and starts kicking left and right",hcstvg1,1.2.3 Social/Affectionate Contact
"The little boy in the white hat furthest away stands for a while holding the bucket, and then lowers the bucket.",hcstvg1,2.4 Durational States & Non-Actions
"The man in the hat raises his hand, turns around, and walks to the door.",hcstvg1,3.4 Composite Action Sequences
The man picks up the remote control on the table.,hcstvg1,3.2 Object Transference
The man in black clothes sits down by the stool.,hcstvg1,1.2.1 Supportive Contact
The man in the suit reaches out and takes what was on the left.,hcstvg1,3.2 Object Transference
"The man in the green clothes walks to the table, picks up the things on the table, speaks a word, then puts down the things and gives the finger to the person in front.",hcstvg1,3.4 Composite Action Sequences
The woman in the white hat puts her contents in the basket and then takes them out.,hcstvg1,3.3 Composite Action Sequences
"The man on the left bows, then puts the cup with the drink on the table",hcstvg1,3.3 Composite Action Sequences
"The woman in the purple turban shakes something in her hand, puts it in the woman's bag, and then zipped it.",hcstvg1,3.3 Composite Action Sequences
"The man spreads his hands upwards, slowly brings them together, and touches his fingers.",hcstvg1,3.4 Composite Action Sequences
The man in red clothes says a few words to the man in a white shirt and walks to the man without a hat.,hcstvg1,3.4 Composite Action Sequences
"The man in brown clothes stops by the woman in white and speaks a few words to her, then turns and walks away.",hcstvg1,3.4 Composite Action Sequences
The man on the right stands up and turns away,hcstvg1,2.1 Actor State Change
The man in gray clothes walks up to the woman.,hcstvg1,3.1.1 Approach & Depart
"The man on the left stands up, holding his right hand on the shoulder of the opposite man.",hcstvg1,3.4 Composite Action Sequences
The man in the green clothes grabs the hand of the white-haired man.,hcstvg1,1.2.2 Manipulative Contact
The woman comes in and closes the door.,hcstvg1,3.3 Composite Action Sequences
The woman in pink clothes closes the door and walks to the chair.,hcstvg1,3.3 Composite Action Sequences
"The woman in striped clothes turns to looks at the people behind her, then turns back.",hcstvg1,2.1 Actor State Change
The man in gray clothes walks to the net.,hcstvg1,3.1.1 Approach & Depart
The yellow-haired man picks up the bottle and pours drinks to the person directly opposite him,hcstvg1,3.2 Object Transference
The woman in black clothes drinks tea and looks at the woman next to her,hcstvg1,2.4 Durational States & Non-Actions
The man in the white shirt walks down the stairs and onto the sofa.,hcstvg1,3.3 Composite Action Sequences
The woman in black clothes lies on the legs of the woman in blue.,hcstvg1,1.2.1 Supportive Contact
The woman next to the man in the blue-red dress turns and then turns to talk to the man.,hcstvg1,3.4 Composite Action Sequences
The man in purple clothes takes a step forward and sits on the bench.,hcstvg1,3.4 Composite Action Sequences
"The yellow-haired man takes the opposite woman's hand and kisses it, then puts it down.",hcstvg1,1.2.3 Social/Affectionate Contact
"The red-hat man bows his head and kisses the woman 's left cheek, and then kisses the woman 's right cheek.",hcstvg1,1.2.3 Social/Affectionate Contact
"The boy holding the recorder lifts the recorder, then presses it with his right hand, raising his right hand.",hcstvg1,3.3 Composite Action Sequences
"The tall man walks to the person next to him, then walks to the door and opens it.",hcstvg1,3.3 Composite Action Sequences
The white-bearded man points at the man on his right and then points at himself again.,hcstvg1,1.3.2 Indicative Gesture
Standing man in black clothes turns and waves his hand to speak.,hcstvg1,3.4 Composite Action Sequences
The woman on the left stands up and sits on the opposite sofa,hcstvg1,3.4 Composite Action Sequences
The woman in a skirt sits down near the table.,hcstvg1,1.1 Relative Position
"The woman next to the black hat raises her hand and touches the hat, bows tie, and then turns her head to the man next to her.",hcstvg1,3.4 Composite Action Sequences
The man in yellow short sleeves sits down on the sofa.,hcstvg1,1.2.1 Supportive Contact
"The man in the black suit follows the woman and takes a few steps, then looks back.",hcstvg1,3.1.3 Following & Leading
The man in brown clothes climbs out of the bucket and stands up.,hcstvg1,3.1.1 Approach & Depart
"The man in black clothes bends down, puts down his hand, and runs to the tree.",hcstvg1,3.3 Composite Action Sequences
woman stands up and walks to the wall,hcstvg1,3.1.1 Approach & Depart
The fat man looks around and takes out his gun.,hcstvg1,2.1 Actor State Change
The boy to the left of the woman stands up and turns.,hcstvg1,2.1 Actor State Change
man in brown coats sits down and picks up wine,hcstvg1,3.3 Composite Action Sequences
"The woman in the large plaid jacket speaks to the man next to her, walks forward, and stops.",hcstvg1,3.4 Composite Action Sequences
The standing man takes the woman from the side and turns away.,hcstvg1,3.1.1 Approach & Depart
The first woman runs down the stairs and salutes,hcstvg1,3.1.1 Approach & Depart
The woman opposite the man in white clothes puts her clothes on the chair .,hcstvg1,3.2 Object Transference
A man in a suit walks into the room and sits down,hcstvg1,3.3 Composite Action Sequences
